code,stage,axis,text
EF15CO02,1º ao 5º ano,Pensamento Computacional,"Construir e simular algoritmos, de forma independente ou em colaboração, que resolvam problemas simples e do cotidiano com uso de sequências, seleções condicionais e repetições de instruções."
EF15CO03,1º ao 5º ano,Pensamento Computacional,"Realizar operações de negação, conjunção e disjunção sobre sentenças lógicas e valores 'verdadeiro' e 'falso'."
EF15CO04,1º ao 5º ano,Pensamento Computacional,"Aplicar a estratégia de decomposição para resolver problemas complexos, dividindo esse problema em partes menores, resolvendo-as e combinando suas soluções."
EF15CO05,1º ao 5º ano,Mundo Digital,"Codificar a informação de diferentes formas, entendendo a importância desta codificação para o armazenamento, manipulação e transmissão em dispositivos computacionais."
EF15CO06,1º ao 5º ano,Mundo Digital,"Conhecer os componentes básicos de dispositivos computacionais, entendendo os princípios de seu funcionamento."
EF15CO07,1º ao 5º ano,Mundo Digital,Conhecer o conceito de Sistema Operacional e sua importância na integração entre software e hardware.
EF15CO08,1º ao 5º ano,Cultura Digital,"Reconhecer e utilizar tecnologias computacionais para pesquisar e acessar informações, expressar-se crítica e criativamente e resolver problemas."
EF15CO09,1º ao 5º ano,Cultura Digital,"Entender que as tecnologias devem ser utilizadas de maneira segura, ética e responsável, respeitando direitos autorais, de imagem e as leis vigentes."
EF06CO01,6º ano,Pensamento Computacional,"Classificar informações, agrupando-as em coleções (conjuntos) e associando cada coleção a um ‘tipo de dados’"
EF06CO02,6º ano,Pensamento Computacional,"Elaborar algoritmos que envolvam instruções sequenciais, de repetição e de seleção usando uma linguagem de programação."
EF06CO03,6º ano,Pensamento Computacional,"Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita."
EF06CO04,6º ano,Pensamento Computacional,Construir soluções de problemas usando a técnica de decomposição e automatizar tais soluções usando uma linguagem de programação.
EF06CO05,6º ano,Pensamento Computacional,"Identificar os recursos ou insumos necessários (entradas) para a resolução de problemas, bem como os resultados esperados (saídas), determinando os respectivos tipos de dados, e estabelecendo a definição de problema como uma relação entre entrada e saída."
EF06CO06,6º ano,Pensamento Computacional,"Comparar diferentes casos particulares (instâncias) de um mesmo problema, identificando as semelhanças e diferenças entre eles, e criar um algoritmo para resolver todos, fazendo uso de variáveis (parâmetros) para permitir o tratamento de todos os casos de forma genérica."
EF06CO07,6º ano,Mundo Digital,"Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino."
EF06CO08,6º ano,Mundo Digital,"Compreender e utilizar diferentes formas de armazenar, manipular, compactar e recuperar arquivos, documentos e metadados."
EF06CO09,6º ano,Cultura Digital,"Apresentar conduta e linguagem apropriadas ao se comunicar em ambiente digital, considerando a ética e o respeito."
EF06CO10,6º ano,Cultura Digital,"Analisar o consumo de tecnologia na sociedade, compreendendo criticamente o caminho da produção dos recursos bem como aspectos ligados à obsolescência e a sustentabilidade."
EF07CO01,7º ano,Pensamento Computacional,Criar soluções de problemas para os quais seja adequado o uso de registros e matrizes unidimensionais para descrever suas informações e automatizá-las usando uma linguagem de programação.
EF07CO02,7º ano,Pensamento Computacional,"Analisar programas para detectar e remover erros, ampliando a confiança na sua correção."
EF07CO03,7º ano,Pensamento Computacional,"Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas, aperfeiçoando e articulando saberes escolares."
EF07CO04,7º ano,Pensamento Computacional,Explorar propriedades básicas de grafos.
EF07CO05,7º ano,Pensamento Computacional,Criar algoritmos fazendo uso da decomposição e do reúso no processo de solução de forma colaborativa e cooperativa e automatizá-los usando uma linguagem de programação.
EF07CO06,7º ano,Mundo Digital,Compreender o papel de protocolos para a transmissão de dados.
EF07CO07,7º ano,Mundo Digital,Identificar problemas de segurança cibernética e experimentar formas de proteção.
EF07CO08,7º ano,Cultura Digital,Demonstrar empatia sobre opiniões divergentes na web.
EF07CO09,7º ano,Cultura Digital,Reconhecer e debater sobre cyberbullying.
EF07CO10,7º ano,Cultura Digital,"Identificar os impactos ambientais do descarte de peças de computadores e eletrônicos, bem como sua relação com a sustentabilidade."
EF07CO11,7º ano,Cultura Digital,"Criar, documentar e publicar, de forma individual ou colaborativa, produtos (vídeos, podcasts, web sites) usando recursos de tecnologia."
